Name;Description;Unit;Default;Minimum;Maximum
H62_HLD_s_2_H2_Concentration;;ppm;;-5000;123000
H63_HLD_s_1_H2_Concentration;;ppm;;-5000;123000
H63_HLD_s_2_H2_Concentration;;ppm;;-5000;123000
S91_SYS_Alive_A03_ETC;;;;0;1
S91_SYS_Alive_A11_HBV;;;;0;1
S91_SYS_Alive_A12_SIV;;;;0;1
S91_SYS_Alive_A13_SOV;;;;0;1
S91_SYS_Alive_A14_HFM;;;;0;1
S91_SYS_Alive_A15_SI;;;;0;1
S91_SYS_Alive_A16_SI;;;;0;1
S91_SYS_Alive_A17_SO;;;;0;1
S91_SYS_Alive_A22_HSI;;;;0;1
S91_SYS_Alive_A23_HSO;;;;0;1
S91_SYS_Alive_A56_SO;;;;0;1
S91_SYS_Alive_C01_RF;;;;0;1
S91_SYS_Alive_C02_RPM;;;;0;1
S91_SYS_Alive_C04_DI;;;;0;1
S91_SYS_Alive_C06_ET;;;;0;1
S91_SYS_Alive_C07_B;;;;0;1
S91_SYS_Alive_C08_AMB;;;;0;1
S91_SYS_Alive_C54_SO;;;;0;1
S91_SYS_Alive_E71_DC4880;;;;0;1
S91_SYS_Alive_E72_DC8024;;;;0;1
S91_SYS_Alive_E73_DC8012;;;;0;1
S91_SYS_Alive_E74_ISOHV;;;;0;1
S91_SYS_Alive_E75_HVP;;;;0;1
S91_SYS_Alive_E76_HVM;;;;0;1
S91_SYS_Alive_E95_DC2405;;;;0;1
S91_SYS_Alive_H31_OTV;;;;0;1
S91_SYS_Alive_H36_GHU;;;;0;1
S91_SYS_Alive_H37_GHU;;;;0;1
S91_SYS_Alive_H38_HSV;;;;0;1
S91_SYS_Alive_H40_GHU;;;;0;1
S91_SYS_Alive_H41_GHU;;;;0;1
S91_SYS_Alive_H42_HRB;;;;0;1
S91_SYS_Alive_H43_HDV;;;;0;1
S91_SYS_Alive_H45_WT;;;;0;1
S91_SYS_Alive_H46_HRBO;;;;0;1
S91_SYS_Alive_H51_STK;;;;0;1
S91_SYS_Alive_H52_DV;;;;0;1
S91_SYS_Alive_H53_PV;;;;0;1
S91_SYS_Alive_H55_SI;;;;0;1
S91_SYS_Alive_H62_HLD;;;;0;1
S91_SYS_Alive_H63_HLD;;;;0;1
S91_SYS_Alive_S80_BP;;;;0;1
S91_SYS_Error_Code;;;;0;255
S91_SYS_Error_Level;;;;0;15
S91_SYS_FCCtrl_State;;;;0;255
S91_SYS_FCShutdown_Mode;;;;0;15
S91_SYS_FCShutdown_State;;;;0;255
S91_SYS_FCStartup_State;;;;0;255
S91_SYS_Labview_Mode;;;;0;15
S91_SYS_MasterCtrl_State;;;;0;255
S91_SYS_PowerCtrl_State;;;;0;255
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
