Name;Description;Unit;Default;Minimum;Maximum;HV & Software;Basis Funktionen;Power Management;Startup;Operation low;Operation high;BZ Shutdown;Alarm
LV_P_FCSU_H2_Press_I_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
LV_P_FCSU_H2_Press_P_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
LV_P_FCSU_H2_StrtPress;;kPa;;0;255;x;x;x;x;x;x;x;x
LV_P_FCSU_HRB_StrtSpd;;rpm;;0;25000;x;x;x;x;x;x;x;x
LV_P_FCSU_InitMinCellVolt;;V;;0;65.535;x;x;x;x;x;x;x;x
LV_P_FCSU_MinCellVolt_Time;;s;;0;6553.5;x;x;x;x;x;x;x;x
LV_P_FCSU_PV_IncrClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSU_PV_IniOpnTime;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSU_PV_StrtClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSU_STK_DeltaMedLow_V;;V;;0;65.535;x;x;x;x;x;x;x;x
LV_P_FCSU_STK_LowCellVolt;;V;;0;65.535;x;x;x;x;x;x;x;x
LV_P_FCSU_STK_NormOpSet_Temp;;°C;;-40;215;x;x;x;x;x;x;x;x
LV_P_HMI_BAT_SOC_Limit_low;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_HMI_BAT_SOC_Limit_ok;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_HMI_H2_leak_amb_ppm;;ppm;;-5000;123000;x;x;x;x;x;x;x;x
LV_P_HMI_H2_leak_exh_ppm;;ppm;;-5000;123000;x;x;x;x;x;x;x;x
LV_P_HMI_H2_leak_exh_s;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_HMI_H2TankLvl_Displ;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_HMI_H2TankLvl_PressLim;;kPa;;0;100000;x;x;x;x;x;x;x;x
LV_P_HMI_H2TankLvl_Scale0;;kPa;;0;100000;x;x;x;x;x;x;x;x
LV_P_HMI_H2TankLvl_Scale1;;kPa;;0;100000;x;x;x;x;x;x;x;x
LV_P_HRBo_a_Valve_Async_fact;;;;0;1;x;x;x;x;x;x;x;x
LV_P_HRBo_a_Valve_I_fact;;;;0;10;x;x;x;x;x;x;x;x
LV_P_HRBo_a_Valve_OT_fact;;;;0;10;x;x;x;x;x;x;x;x
LV_P_PC_MinUCell_range1_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_PC_MinUCell_range1_Volt;;V;;0;65.535;x;x;x;x;x;x;x;x
LV_P_PC_MinUCell_range2_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_PC_MinUCell_range2_Volt;;V;;0;65.535;x;x;x;x;x;x;x;x
LV_P_PC_UIrangeCell_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_PC_UIrangeCell_Volt;;V;;0;65.535;x;x;x;x;x;x;x;x
LV_P_Power_Out_FC_High;;A;;0;255;x;x;x;x;x;x;x;x
LV_P_Power_Out_FC_Low;;A;;0;255;x;x;x;x;x;x;x;x
LV_P_RFC_HghVent_FanSpd;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_RFC_NrmOpBaseVal_FanSpd;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_RFC_SrtStpVent_FanSpd;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_SOC_Limit_FC_High;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_SOC_Limit_FC_Low;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_SOC_Limit_FC_Off;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_SPDN_BATlimit_Curr;;A;;-3276.8;3276.7;x;x;x;x;x;x;x;x
LV_P_SPDN_BATlimit_Time;;s;;0;6553.5;x;x;x;x;x;x;x;x
LV_P_TC_ClPmpSpd_Amp0;;A;;0;511;x;x;x;x;x;x;x;x
LV_P_TC_ClPmpSpd_Amp1;;A;;0;511;x;x;x;x;x;x;x;x
LV_P_TC_ClPmpSpd_Amp2;;A;;0;511;x;x;x;x;x;x;x;x
LV_P_TC_ClPmpSpd_perc0;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_TC_ClPmpSpd_perc1;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_TC_ClPmpSpd_perc2;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_TC_GHU_MaxLowPress;;kPa;;0;4100;x;x;x;x;x;x;x;x
LV_P_TC_GHU_MaxMidPress;;kPa;;0;2500;x;x;x;x;x;x;x;x
LV_P_TC_OTV_MaxTankPress;;kPa;;0;100000;x;x;x;x;x;x;x;x
LV_P_TC_StkIntT_I_Crtl_FanSpd;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
LV_P_TC_StkIntT_P_Crtl_FanSpd;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
LV_P_WTLC_SOC_Lvl;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_WTLC_SOC_time2off;;s;;0;6553.5;x;x;x;x;x;x;x;x
LV_Testmode_Select;;;;0;4;x;x;x;x;x;x;x;x
S83_en_p_cldn_amblimit_temp;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_cldn_amblimitoff_temp;;;;0;1;x;x;x;x;x;x;x;x
